operator_id,inbound_attempts,inbound_records,total_inbound_wait_seconds,active_inbound_days,missed_inbound_calls,missed_inbound_rate,avg_inbound_wait_per_call_seconds,share_total_missed_calls,active_inbound_weeks,above_10pct_project_reference,exploratory_30plus_calls_view,operator_rank_by_missed_calls,cumulative_missed_calls,cumulative_missed_share
913942,2467,85,29573,57,52,0.02107823267126064,11.987434130522903,0.056155507559395246,11,False,True,1,52,0.056155507559395246
940588,2127,52,6616,29,30,0.014104372355430184,3.1104842501175365,0.032397408207343416,6,False,True,2,82,0.08855291576673865
944226,180,50,7679,36,30,0.16666666666666666,42.66111111111111,0.032397408207343416,6,True,True,3,112,0.12095032397408208
885890,1244,94,11306,73,26,0.02090032154340836,9.088424437299036,0.028077753779697623,12,False,True,4,138,0.1490280777537797
937956,773,59,1029,44,24,0.031047865459249677,1.3311772315653299,0.02591792656587473,7,False,True,5,162,0.17494600431965443
944216,235,52,8368,36,24,0.10212765957446808,35.60851063829787,0.02591792656587473,6,True,True,6,186,0.20086393088552915
951508,336,33,6366,19,21,0.0625,18.946428571428573,0.02267818574514039,5,False,True,7,207,0.22354211663066956
885876,992,90,9017,73,20,0.020161290322580645,9.089717741935484,0.02159827213822894,16,False,True,8,227,0.2451403887688985
944220,265,51,9558,37,18,0.06792452830188679,36.06792452830189,0.019438444924406047,6,False,True,9,245,0.26457883369330454
940630,1985,49,8132,29,17,0.008564231738035265,4.096725440806045,0.0183585313174946,6,False,True,10,262,0.28293736501079914
944222,185,45,6267,33,17,0.0918918918918919,33.87567567567567,0.0183585313174946,6,False,True,11,279,0.30129589632829373
940622,677,28,3059,15,16,0.023633677991137372,4.518463810930576,0.017278617710583154,4,False,True,12,295,0.3185745140388769
948286,319,37,5004,29,15,0.047021943573667714,15.68652037617555,0.016198704103671708,5,False,True,13,310,0.3347732181425486
944218,245,48,8996,37,15,0.061224489795918366,36.71836734693878,0.016198704103671708,6,False,True,14,325,0.3509719222462203
905862,102,37,1165,34,15,0.14705882352941177,11.42156862745098,0.016198704103671708,11,True,True,15,340,0.367170626349892
913938,4766,77,40577,64,14,0.0029374737725556023,8.513848090642048,0.01511879049676026,11,False,True,16,354,0.38228941684665224
908960,695,108,16264,77,14,0.02014388489208633,23.401438848920865,0.01511879049676026,12,False,True,17,368,0.39740820734341253
931458,2078,52,35462,39,12,0.005774783445620789,17.065447545717035,0.012958963282937365,8,False,True,18,380,0.4103671706263499
901880,1825,108,9568,87,11,0.006027397260273973,5.242739726027398,0.011879049676025918,13,False,True,19,391,0.4222462203023758
919554,1182,76,38240,64,11,0.009306260575296108,32.35194585448392,0.011879049676025918,10,False,True,20,402,0.43412526997840173
893804,2433,107,12458,93,10,0.004110152075626798,5.120427455815865,0.01079913606911447,14,False,True,21,412,0.4449244060475162
921818,1808,70,19001,60,10,0.0055309734513274336,10.509402654867257,0.01079913606911447,9,False,True,22,422,0.4557235421166307
940658,862,37,4181,25,10,0.01160092807424594,4.8503480278422275,0.01079913606911447,6,False,True,23,432,0.46652267818574517
925922,418,27,2812,19,10,0.023923444976076555,6.7272727272727275,0.01079913606911447,4,False,True,24,442,0.4773218142548596
919204,1167,17,9366,10,9,0.007712082262210797,8.025706940874036,0.009719222462203024,4,False,True,25,451,0.4870410367170626
919206,926,19,7373,11,9,0.009719222462203024,7.962203023758099,0.009719222462203024,4,False,True,26,460,0.49676025917926564
940652,414,28,1717,20,9,0.021739130434782608,4.147342995169082,0.009719222462203024,4,False,True,27,469,0.5064794816414687
952948,3542,33,5638,25,8,0.002258610954263128,1.5917560700169395,0.008639308855291577,5,False,True,28,477,0.5151187904967602
905104,296,63,5111,57,8,0.02702702702702703,17.26689189189189,0.008639308855291577,13,False,True,29,485,0.5237580993520519
937958,292,53,2058,43,8,0.0273972602739726,7.0479452054794525,0.008639308855291577,7,False,True,30,493,0.5323974082073434
906410,232,34,6035,29,7,0.03017241379310345,26.012931034482758,0.00755939524838013,7,False,True,31,500,0.5399568034557235
959312,56,13,418,12,7,0.125,7.464285714285714,0.00755939524838013,3,True,True,32,507,0.5475161987041036
906412,26,15,400,13,7,0.2692307692307692,15.384615384615385,0.00755939524838013,6,True,False,33,514,0.5550755939524838
906392,18,7,249,5,7,0.3888888888888889,13.833333333333334,0.00755939524838013,2,True,False,34,521,0.562634989200864
921318,2323,55,33848,44,6,0.002582866982350409,14.57081360309944,0.0064794816414686825,9,False,True,35,527,0.5691144708423326
919166,993,14,5624,10,6,0.006042296072507553,5.663645518630413,0.0064794816414686825,4,False,True,36,533,0.5755939524838013
882686,766,68,11271,63,6,0.007832898172323759,14.714099216710183,0.0064794816414686825,14,False,True,37,539,0.58207343412527
940616,578,31,3198,25,6,0.010380622837370242,5.532871972318339,0.0064794816414686825,7,False,True,38,545,0.5885529157667386
940624,572,34,3242,26,6,0.01048951048951049,5.6678321678321675,0.0064794816414686825,6,False,True,39,551,0.5950323974082073
906404,501,43,13559,37,6,0.011976047904191617,27.063872255489024,0.0064794816414686825,9,False,True,40,557,0.6015118790496761
940634,432,30,3346,22,6,0.013888888888888888,7.74537037037037,0.0064794816414686825,6,False,True,41,563,0.6079913606911447
920706,68,27,1626,25,6,0.08823529411764706,23.91176470588235,0.0064794816414686825,9,False,True,42,569,0.6144708423326134
905300,25,16,552,15,6,0.24,22.08,0.0064794816414686825,8,True,False,43,575,0.6209503239740821
929424,1266,49,1660,45,5,0.0039494470774091624,1.311216429699842,0.005399568034557235,8,False,True,44,580,0.6263498920086393
938896,1058,47,8182,42,5,0.004725897920604915,7.733459357277883,0.005399568034557235,7,False,True,45,585,0.6317494600431965
899250,286,84,4577,79,5,0.017482517482517484,16.003496503496503,0.005399568034557235,14,False,True,46,590,0.6371490280777538
