week_start,weekly_inbound_attempts,weekly_total_wait_seconds,weekly_active_operators,weekly_missed_inbound_calls,weekly_missed_inbound_rate,weekly_avg_inbound_wait_seconds,is_partial_boundary_week
2019-07-29,1,9,1,0,0.0,9.0,True
2019-08-05,39,547,9,0,0.0,14.025641025641026,False
2019-08-12,181,2035,23,3,0.016574585635359115,11.243093922651934,False
2019-08-19,582,7514,49,11,0.018900343642611683,12.9106529209622,False
2019-08-26,912,11390,84,10,0.010964912280701754,12.489035087719298,False
2019-09-02,1555,18111,118,26,0.016720257234726688,11.64694533762058,False
2019-09-09,1981,26075,154,34,0.017163048965169108,13.162544169611307,False
2019-09-16,2234,30433,156,18,0.008057296329453895,13.622649955237243,False
2019-09-23,4091,54510,200,34,0.008310926423857248,13.324370569542898,False
2019-09-30,6141,92737,226,58,0.009444715844325028,15.101286435433968,False
2019-10-07,6669,99646,245,51,0.007647323436797121,14.941670415354626,False
2019-10-14,6749,96519,289,86,0.01274262853756112,14.301229811823974,False
2019-10-21,7931,114302,338,88,0.011095700416088766,14.412053965452024,False
2019-10-28,9117,122741,354,94,0.010310409125808929,13.462871558626741,False
2019-11-04,9492,120467,363,68,0.007163927517909819,12.691424357353561,False
2019-11-11,12092,150318,380,122,0.010089315249751903,12.431194177968905,False
2019-11-18,13333,163599,408,132,0.009900247506187655,12.270231755793894,False
2019-11-25,10702,122332,389,91,0.008503083535787704,11.4307606054943,True
